,timestamp,tweet_text,followers_count,scaled_followers_count,neg,neu,pos,compound
0,2021-04-15 04:43:06,"$CBTC  CEO To Announce Earnings to Exceed Expectations, Share Price To Rise   $ICNB $DNKN $WPZ $LHO $WRK $PK $USRM $TV $BGS $SGMS $AME $FMSA $CHGG",34950,1.0,0.0,0.916,0.084,0.592
1,2021-04-15 03:07:38,"TD SELL $SGMS at 44.71, Supp 37.49 Resis 44.71 R19  HiLo 82% T1Y 50 buy 2.3 fwdPE 24.6 DIV N/A #Scientific #stocks #trading #finance #market  ",468,0.013390557939914163,0.0,1.0,0.0,0.0
2,2021-04-15 01:26:04,$SGMS's in Uptrend: Moving Average Convergence Divergence (MACD) Histogram crosses above signal line. View odds for this and other indicators:  #ScientificGames #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today ,9545,0.27310443490701003,0.0,1.0,0.0,0.0
